line,line_key,colour,seq,x,y,name,sub,marker,label_pos
GTX-A,1-GA,9F6181,0,257.0,154.0,수서,,interchange,E
GTX-A,1-GA,9F6181,1,257.0,155.0,,,,
GTX-A,1-GA,9F6181,2,256.0,156.0,,,,
GTX-A,1-GA,9F6181,3,232.0,156.0,,,,
GTX-A,1-GA,9F6181,4,231.0,157.0,,,,
GTX-A,1-GA,9F6181,5,231.0,159.0,성남,,interchange,NW
GTX-A,1-GA,9F6181,6,231.0,176.0,,,,
GTX-A,1-GA,9F6181,7,230.0,177.0,,,,
GTX-A,1-GA,9F6181,8,190.0,177.0,,,,
GTX-A,1-GA,9F6181,9,189.0,176.0,,,,
GTX-A,1-GA,9F6181,10,189.0,174.0,구성,,interchange,NW
GTX-A,1-GA,9F6181,11,189.0,171.0,,,,
GTX-A,1-GA,9F6181,12,188.0,170.0,,,,
GTX-A,1-GA,9F6181,13,160.0,170.0,동탄,,,NW
GTX-A,1-GA,9F6181,14,150.0,170.0,,,,
GTX-A,1-GA,9F6181,15,8.0,28.0,,,,
GTX-A,1-GA,9F6181,16,14.0,28.0,운정중앙,,,N
GTX-A,1-GA,9F6181,17,27.0,28.0,킨텍스,,,N
GTX-A,1-GA,9F6181,18,43.0,28.0,,,,
GTX-A,1-GA,9F6181,19,46.0,29.0,,,,
GTX-A,1-GA,9F6181,20,51.0,35.0,대곡,,interchange,SW
GTX-A,1-GA,9F6181,21,52.0,36.0,,,,
GTX-A,1-GA,9F6181,22,55.0,37.0,,,,
GTX-A,1-GA,9F6181,23,84.0,37.0,,,,
GTX-A,1-GA,9F6181,24,86.0,36.0,,,,
GTX-A,1-GA,9F6181,25,87.0,35.0,연신내,,interchange,SW
GTX-A,1-GA,9F6181,26,87.0,39.0,,,,
GTX-A,1-GA,9F6181,27,88.0,41.0,,,,
GTX-A,1-GA,9F6181,28,125.0,78.0,,,,
GTX-A,1-GA,9F6181,29,127.0,79.0,,,,
GTX-A,1-GA,9F6181,30,131.0,79.0,서울역,,interchange,NE
1호선,2-1,052F93,0,107.0,8.0,,,,
1호선,2-1,052F93,1,113.0,8.0,연천,,,S
1호선,2-1,052F93,2,118.0,8.0,전곡,,,S
1호선,2-1,052F93,3,120.0,8.0,,,,
1호선,2-1,052F93,4,122.0,9.0,,,,
1호선,2-1,052F93,5,124.0,11.0,청산,,,WS
1호선,2-1,052F93,6,125.0,12.0,,,,
1호선,2-1,052F93,7,127.0,13.0,,,,
1호선,2-1,052F93,8,129.0,13.0,소요산,,,
1호선,2-1,052F93,9,136.0,13.0,동두천,,,
1호선,2-1,052F93,10,142.0,13.0,보산,,,
1호선,2-1,052F93,11,148.5,13.0,동두천중앙,,,
1호선,2-1,052F93,12,155.0,13.0,지행,,,
